               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044196,            0.013762,            0.048297,           0.0079416,             0.59524,             0.01743,           0.0060639,            0.042579,           0.0061614,            0.057351,            0.006535,            0.006535,            0.006535
                  37,            0.041328,            0.013217,            0.045919,            0.011246,             0.92857,            0.020406,           0.0099797,            0.038319,           0.0067526,            0.058773,            0.006436,            0.006436,            0.006436
                  38,             0.04545,             0.01406,            0.048696,            0.018026,                   1,            0.039434,            0.024695,             0.02361,           0.0060515,            0.058568,            0.006337,            0.006337,            0.006337
                  39,            0.041716,            0.015201,            0.048375,            0.023952,                   1,            0.050881,            0.031418,            0.026073,           0.0067368,            0.058322,            0.006238,            0.006238,            0.006238
                  40,            0.044568,            0.013985,            0.043335,            0.016746,                   1,            0.033314,            0.018269,            0.027374,           0.0079216,            0.057849,            0.006139,            0.006139,            0.006139
                  41,            0.040839,            0.015133,            0.043874,            0.020917,                   1,            0.042229,            0.022668,            0.025423,           0.0076352,            0.056509,             0.00604,             0.00604,             0.00604
                  42,            0.038894,            0.013675,            0.045231,            0.019674,                   1,             0.04413,            0.025363,            0.024311,           0.0074159,            0.056146,            0.005941,            0.005941,            0.005941
                  43,            0.038818,            0.016003,            0.043553,             0.01624,                   1,            0.036989,            0.020038,            0.028288,           0.0071935,            0.055228,            0.005842,            0.005842,            0.005842
                  44,            0.040593,            0.013865,            0.042788,            0.022161,                   1,            0.045293,            0.023635,            0.021789,           0.0066155,            0.054357,            0.005743,            0.005743,            0.005743
                  45,            0.042111,             0.01457,            0.044667,            0.013944,                   1,            0.031467,            0.012246,            0.030376,           0.0082618,            0.054971,            0.005644,            0.005644,            0.005644
                  46,            0.043382,            0.014209,            0.045957,            0.016824,                   1,            0.043597,            0.026259,            0.022248,           0.0077961,            0.054696,            0.005545,            0.005545,            0.005545
                  47,            0.038972,            0.011746,            0.040888,            0.020469,                   1,            0.044516,            0.022605,            0.021267,           0.0079528,            0.053052,            0.005446,            0.005446,            0.005446
                  48,             0.04057,            0.013774,             0.04162,            0.017208,                   1,            0.035092,            0.016857,            0.025909,           0.0076338,            0.052339,            0.005347,            0.005347,            0.005347
                  49,            0.038033,            0.012925,            0.042682,            0.020385,                   1,            0.040101,            0.017279,            0.026401,           0.0072752,            0.050859,            0.005248,            0.005248,            0.005248
                  50,            0.042941,            0.013146,            0.038703,            0.017375,             0.78571,            0.027279,            0.016286,            0.026551,           0.0068578,             0.05011,            0.005149,            0.005149,            0.005149
                  51,            0.037906,             0.01374,            0.039356,            0.021149,             0.85714,            0.033948,            0.015885,            0.028158,           0.0068319,            0.049116,             0.00505,             0.00505,             0.00505
                  52,            0.040904,            0.014752,            0.040886,            0.021535,             0.92857,             0.03988,            0.019147,            0.027632,           0.0070718,            0.048917,            0.004951,            0.004951,            0.004951
                  53,            0.040247,            0.014164,            0.039248,            0.020857,             0.92857,             0.03915,            0.018634,            0.025858,           0.0072838,            0.048917,            0.004852,            0.004852,            0.004852
                  54,            0.041315,            0.013705,            0.038497,            0.022868,             0.92857,            0.035784,            0.017644,            0.027321,           0.0069339,            0.049262,            0.004753,            0.004753,            0.004753
                  55,            0.031796,             0.01203,            0.036816,            0.022485,             0.92857,            0.041773,            0.017402,            0.025626,           0.0069115,            0.050373,            0.004654,            0.004654,            0.004654
                  56,            0.038671,             0.01308,            0.034314,            0.020224,             0.92857,            0.037075,            0.016569,            0.025159,           0.0070586,            0.050841,            0.004555,            0.004555,            0.004555
                  57,            0.035776,            0.014375,            0.036788,            0.019576,             0.92857,            0.032299,            0.017068,            0.025978,           0.0076419,            0.051947,            0.004456,            0.004456,            0.004456
                  58,            0.035995,            0.011456,            0.035266,            0.024434,             0.92857,             0.03623,             0.01631,            0.024999,           0.0075493,            0.052181,            0.004357,            0.004357,            0.004357
                  59,            0.034482,            0.012806,            0.037013,            0.024484,             0.92857,             0.03307,            0.017239,            0.024142,            0.007207,            0.052994,            0.004258,            0.004258,            0.004258
